,Title,Published_date,Views,Likes,Comments,Month
139,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,104995,2605,139,Oct
140,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,130894,3164,74,Sep
141,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,440640,10984,304,Sep
142,How NOT to Become a Data Analyst (Funny?),2021-09-07,17105,709,114,Sep
143,100k Subscriber Play Button Unboxing,2021-08-31,2625,241,96,Aug
144,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,188743,4689,502,Aug
145,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,83530,2267,158,Aug
146,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4727,191,26,Aug
147,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,142807,4444,505,Aug
148,When To Start Applying To Your First Data Analyst Job,2021-07-21,62563,3558,223,Jul
149,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,129574,5626,364,Jul
150,How to Create a Portfolio Website for FREE,2021-06-29,354492,9116,604,Jun
151,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,130445,2483,408,Jun
152,How To Get a Data Analyst Job (with No Experience),2021-06-08,437437,19327,592,Jun
153,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6225,241,107,Jun
154,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,28383,817,86,Jun
155,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,302608,6303,723,May
156,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,304248,5123,426,May
157,Asking My Family What I Do For a Living,2021-05-11,3681,195,56,May
158,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1475560,28049,3334,May
159,Advanced SQL Tutorial | Subqueries,2021-04-20,253247,6057,183,Apr
160,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,21931,821,149,Apr
161,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,298077,10886,576,Apr
